,abs_coef,indicator
original_glrlm_RunLengthNonUniformity_std,0.1476617966010157,1
original_glrlm_ShortRunHighGrayLevelEmphasis_mean,0.14761673352504653,1
original_glszm_SmallAreaHighGrayLevelEmphasis_mean,0.14651037718930515,1
original_glrlm_RunPercentage_max,0.14583343831557805,1
original_glszm_ZonePercentage_max,0.14583343831557805,1
original_glszm_SizeZoneNonUniformity_50%,0.14574909138407482,-1
original_firstorder_Skewness_std,0.1456749307410053,-1
original_glrlm_LowGrayLevelRunEmphasis_5%,0.14556203875075682,-1
original_glszm_LowGrayLevelZoneEmphasis_5%,0.14533659666038456,-1
original_glcm_ClusterTendency_95%,0.14506920422199873,-1
original_glrlm_RunLengthNonUniformity_50%,0.14386056014853846,-1
original_glrlm_ShortRunEmphasis_50%,0.14360796392520436,-1
original_ngtdm_Coarseness_5%,0.14349386012011572,1
original_glcm_JointEnergy_std,0.14324905185769699,-1
original_glszm_SmallAreaEmphasis_50%,0.1429120854671743,-1
original_shape2D_MajorAxisLength_mean,0.1403198986965901,1
original_gldm_SmallDependenceEmphasis_min,0.13921440653525557,-1
original_gldm_LowGrayLevelEmphasis_5%,0.13876632464650454,-1
original_gldm_LargeDependenceEmphasis_50%,0.13869114571735486,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,0.138048881970091,-1
original_glcm_Correlation_mean,0.1376792169209329,-1
original_firstorder_Entropy_min,0.137399825675073,1
original_firstorder_RobustMeanAbsoluteDeviation_max,0.13679916695968325,1
original_firstorder_RobustMeanAbsoluteDeviation_95%,0.1344463499056065,1
original_gldm_LargeDependenceEmphasis_max,0.13261224194946175,-1
