,abs_coef,indicator
original_gldm_SmallDependenceEmphasis_std,0.3147162012369359,1
original_glcm_InverseVariance_mean,0.31338181301517604,-1
original_gldm_LargeDependenceLowGrayLevelEmphasis_95%,0.31324360858100603,1
original_firstorder_Energy_std,0.3120990152630117,1
original_firstorder_TotalEnergy_std,0.3120990152630117,1
original_glcm_Contrast_95%,0.3115792021654113,-1
original_glrlm_ShortRunLowGrayLevelEmphasis_5%,0.3107038135955454,-1
original_glcm_InverseVariance_5%,0.31057646636863856,-1
original_glszm_SmallAreaLowGrayLevelEmphasis_5%,0.3105137174168145,-1
original_firstorder_Entropy_5%,0.3092370197429116,1
original_glcm_Correlation_5%,0.3041294134115211,-1
original_firstorder_Median_5%,0.30327096793131125,-1
original_glrlm_RunLengthNonUniformity_95%,0.3026087191406133,1
original_glszm_SizeZoneNonUniformity_95%,0.3023429824226732,1
original_gldm_DependenceNonUniformity_mean,0.30015483965467343,1
original_gldm_LargeDependenceHighGrayLevelEmphasis_min,0.2999235591822265,1
original_glrlm_RunLengthNonUniformityNormalized_min,0.2974091323223946,-1
original_glszm_SizeZoneNonUniformityNormalized_min,0.29740913232239424,-1
original_glszm_GrayLevelNonUniformity_5%,0.2973324810064593,1
original_firstorder_Range_5%,0.29582723944481776,1
original_gldm_GrayLevelNonUniformity_max,0.2948898325040856,-1
original_ngtdm_Busyness_50%,0.29433873442337444,-1
original_shape2D_MajorAxisLength_max,0.29351059047321026,1
original_ngtdm_Coarseness_min,0.29295908525148645,1
original_glcm_ClusterShade_5%,0.29227224067946306,-1
original_glcm_SumAverage_min,0.2915041190564869,1
original_glcm_JointAverage_min,0.2915041190548123,1
original_shape2D_MinorAxisLength_mean,0.2898193445891031,1
original_glrlm_ShortRunHighGrayLevelEmphasis_50%,0.2873109841601187,1
original_glszm_SizeZoneNonUniformityNormalized_std,0.2867155172063567,1
original_glszm_SmallAreaHighGrayLevelEmphasis_50%,0.2860671624729178,1
original_firstorder_MeanAbsoluteDeviation_min,0.2860312709408666,1
original_firstorder_Maximum_mean,0.28441659506052713,1
original_glcm_Contrast_min,0.28287621771914456,-1
original_glszm_LargeAreaLowGrayLevelEmphasis_min,0.28135344340073365,-1
original_glrlm_LongRunLowGrayLevelEmphasis_min,0.28135344340073365,-1
original_gldm_SmallDependenceHighGrayLevelEmphasis_min,0.2813530723532573,-1
original_glcm_DifferenceVariance_min,0.2810534380018444,1
original_glcm_ClusterTendency_max,0.2809734698439397,-1
original_firstorder_10Percentile_95%,0.2790483967180787,1
original_glrlm_ShortRunHighGrayLevelEmphasis_std,0.27844734169619306,-1
original_glszm_SmallAreaHighGrayLevelEmphasis_std,0.27825683191293515,-1
original_glszm_ZonePercentage_5%,0.2777041416983484,1
original_glrlm_RunPercentage_5%,0.2773829935450581,1
original_glrlm_GrayLevelNonUniformity_mean,0.2767787362325659,1
original_glrlm_ShortRunLowGrayLevelEmphasis_std,0.27568714896189395,1
original_glcm_Idn_std,0.27521107335716805,-1
